xdata, ydata0, ydata1, ydata2, ydata3
4.067030800E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 3.015310832E+5
4.067031700E+2 , NaN , NaN , NaN , NaN
4.067032600E+2 , NaN , NaN , NaN , NaN
4.067033500E+2 , NaN , NaN , NaN , NaN
4.067034400E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.727894180E+5
4.067035300E+2 , NaN , NaN , NaN , NaN
4.067036200E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.926849431E+5
4.067037100E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.815415944E+5
4.067038000E+2 , NaN , NaN , NaN , NaN
4.067038900E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.701545168E+5
4.067039800E+2 , NaN , NaN , NaN , NaN
4.067040700E+2 , NaN , NaN , NaN , NaN
4.067041600E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.909760527E+5
4.067042500E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.924778239E+5
4.067043400E+2 , NaN , NaN , NaN , NaN
4.067044300E+2 , NaN , NaN , NaN , NaN
4.067045200E+2 , NaN , NaN , NaN , NaN
4.067046100E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 3.047976677E+5
4.067047000E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 3.053205788E+5
4.067047900E+2 , NaN , NaN , NaN , NaN
4.067048800E+2 , NaN , NaN , NaN , NaN
4.067049700E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.798784082E+5
4.067050600E+2 , NaN , NaN , NaN , NaN
4.067051500E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 3.199698172E+5
4.067052400E+2 , NaN , NaN , NaN , NaN
4.067053300E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 3.000814372E+5
4.067054200E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.701001413E+5
4.067055100E+2 , NaN , NaN , NaN , NaN
4.067056000E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 3.261639306E+5
4.067056900E+2 , NaN , NaN , NaN , NaN
4.067057800E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.883479432E+5
4.067058700E+2 , NaN , NaN , NaN , NaN
4.067059600E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.869237703E+5
4.067060500E+2 , NaN , NaN , NaN , NaN
4.067061400E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.910269093E+5
4.067062300E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.986873603E+5
4.067063200E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.858377257E+5
4.067064100E+2 , NaN , NaN , NaN , NaN
4.067065000E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.963989299E+5
4.067065900E+2 , NaN , NaN , NaN , NaN
4.067066800E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.964958182E+5
4.067067700E+2 , NaN , NaN , NaN , NaN
4.067068600E+2 , NaN , NaN , NaN , NaN
4.067069500E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 3.137006922E+5
4.067070400E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 3.192306249E+5
4.067071300E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 3.171235843E+5
4.067072200E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 3.151072995E+5
4.067073100E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 3.122207106E+5
